N,E,W,X
40, 25.7253, 8, 22511
40, 23.7911, 8, 122
36, 44.913, 3, 21915
35, 48.2592, 3, 73
43, 51.47, 6, 27685
42, 20.9671, 4, 25215
54, 34.971, 5, 38372
68, 78.0658, 5, 22919
44, 36.5184, 5, 32846
44, 61.6634, 5, 12879
42, 28.7041, 8, 3618
47, 37.118, 5, 42052
41, 39.7872, 5, 9406
45, 41.8762, 5, 2545
44, 45.2224, 5, 59
45, 49.6132, 6, 293
48, 56.0155, 6, 2194
48, 54.0812, 6, 150
49, 50.735, 6, 235
44, 58.7621, 4, 8863
47, 34.2166, 3, 17667
63, 28.0658, 1, 55989
61, 48.2979, 0, 1739
63, 72.5532, 6, 2150
56, 74.7002, 5, 3482
55, 73.2108, 5, 3847
50, 39.6518, 5, 19778
49, 39.1296, 5, 15
52, 55.2031, -3, 25365
53, 57.6596, -2, 641
48, 28.9362, 1, 23815
53, 55.7253, 5, 17311
50, 56.0928, 6, 1737
52, 61.9729, 5, 1982
42, 39.3424, 5, 3346
41, 31.0832, 4, 4626
53, 18.0077, 3, 28614
50, 41.5861, 5, 38716
48, 38.6074, 5, 230
59, 57.8917, 6, 10061
59, 57.8917, 6, 148
57, 58.7814, 6, 169
58, 62.205, 5, 6741
58, 62.205, 5, 28
59, 66.5957, 5, 328
54, 54.3133, 3, 15801
46, 12.4178, 1, 15088
46, 12.4178, 1, 90
50, 23.2108, -1, 17669
48, 18.2979, -2, 2729
47, 17.7756, -2, 356
45, 20.5996, -2, 517
55, 10.3482, 7, 6337
55, 18.0851, 7, 510
56, 20.5416, 7, 343
51, 24.7002, 7, 1546
51, 24.7002, 7, 110
56, 21.5087, 5, 6050
53, 15.1064, 5, 1562
53, 26.7118, 5, 5457
54, 21.4313, 5, 318
44, 37.4855, 6, 7422
53, 54.7582, 3, 20176
57, 74.2553, 6, 2887
63, 59.0135, 6, 9603
60, 80.6576, 4, 8625
49, 52.6692, 8, 8181
51, 50.8124, 3, 25733
53, 65.3965, 2, 1781
48, 67.6209, 0, 2602
51, 69.1876, -2, 20347
47, 75.8027, 4, 44788
49, 81.6828, 7, 3131
55, 81.9149, 0, 4867
47, 34.2166, 5, 18233
49, 35.2611, 5, 1473
50, 64.7969, 4, 7498
50, 66.7311, 4, 108
45, 65.087, 5, 5081
35, 35.6867, 7, 17867
35, 35.6867, 7, 1195
40, 49.9033, 5, 6438
41, 46.5571, 3, 1178
39, 57.118, 5, 6791
49, 72.0116, 0, 10736
47, 63.2302, -2, 4022
53, 60.5609, 7, 16392
40, 51.8375, -2, 14474
40, 49.9033, -2, 140
45, 55.4159, 4, 4924
44, 60.6963, 4, 0
38, 66.2669, 1, 7157
54, 48.5106, 7, 17862
42, 63.5203, 8, 10280
43, 64.0426, 8, 367
52, 86.1509, 3, 36804
52, 31.0251, 6, 10888
46, 41.4313, 6, 31944
46, 39.4971, 6, 352
44, 21.0445, 6, 5492
45, 23.501, 7, 369
47, 20.677, 7, 1189
54, 22.3985, 7, 5138
56, 15.706, 9, 5120
50, 29.9807, 3, 5002
54, 60.1161, 4, 7892
53, 57.6596, 3, 65
51, 55.648, 3, 21
47, 62.2631, -2, 8487
46, 61.7408, -2, 91
45, 57.3501, -2, 731
54, 81.3926, -1, 5405
64, 60.5029, 5, 17824
65, 59.0909, 5, 368
63, 61.9149, 5, 623
54, 50.4449, 8, 2993
55, 52.9014, 8, 227
55, 52.9014, 8, 114
54, 48.5106, 8, 269
57, 45.2418, 8, 1559
46, 65.6093, -7, 21978
44, 67.4662, -7, 1102
54, 59.1489, -3, 8069
54, 70.7544, -2, 5661
58, 73.8104, -3, 6169
